Reason_1,Reason_2,Reason_3,Reason_4,Date,Age,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,Day of the week
0,0,0,1,2015-08-21,48,235,29,205.917,33,0,1,5,8,8,4
0,0,0,1,2015-08-28,36,260,50,205.917,23,0,4,0,4,8,4
0,0,0,1,2015-09-01,27,184,42,241.476,21,0,0,0,2,9,1
0,0,0,1,2015-09-07,37,118,10,241.476,28,0,0,0,4,9,0
0,0,0,1,2015-09-01,38,179,51,241.476,31,0,0,0,4,9,1
0,0,1,0,2015-09-08,43,235,20,241.476,38,0,1,0,8,9,1
0,0,0,1,2015-09-09,34,155,12,241.476,25,0,2,0,2,9,2
0,0,0,1,2015-09-13,37,118,10,241.476,28,0,0,0,3,9,6
0,0,0,1,2015-09-14,38,179,51,241.476,31,0,0,0,3,9,0
0,0,0,1,2015-09-24,40,291,31,241.476,25,0,1,1,4,9,3
0,0,0,1,2015-09-04,36,260,50,241.476,23,0,4,0,8,9,4
1,0,0,0,2015-09-14,40,291,31,241.476,25,0,1,1,32,9,0
0,0,0,0,2015-09-21,36,260,50,241.476,23,0,4,0,0,9,0
0,0,0,0,2015-09-28,28,225,26,241.476,24,0,1,2,0,9,0
0,0,0,1,2015-09-08,28,225,26,241.476,24,0,1,2,2,9,1
0,0,0,1,2015-09-15,37,118,10,241.476,28,0,0,0,2,9,1
0,0,0,0,2015-09-22,33,289,36,241.476,30,0,2,1,0,9,1
0,0,0,0,2015-09-29,50,118,13,241.476,31,0,1,0,0,9,1
0,0,1,0,2015-09-16,28,225,26,241.476,24,0,1,2,3,9,2
0,0,0,1,2015-09-23,38,179,51,241.476,31,0,0,0,3,9,2
0,0,0,0,2015-09-30,31,369,17,241.476,25,0,3,0,0,9,2
0,0,0,1,2015-09-11,47,248,25,241.476,32,0,2,1,1,9,4
0,0,0,1,2015-09-18,38,179,51,241.476,31,0,0,0,3,9,4
0,0,0,1,2015-09-25,36,260,50,241.476,23,0,4,0,4,9,4
0,0,0,1,2015-10-06,38,179,51,253.465,31,0,0,0,3,10,1
0,0,0,1,2015-10-13,37,118,10,253.465,28,0,0,0,3,10,1
0,0,0,0,2015-10-14,50,118,13,253.465,31,0,1,0,0,10,2
0,0,0,1,2015-10-15,30,179,26,253.465,19,1,0,0,1,10,3
0,0,0,1,2015-10-16,38,179,51,253.465,31,0,0,0,3,10,4
0,0,0,1,2015-10-16,28,225,26,253.465,24,0,1,2,3,10,4
0,0,0,1,2015-10-06,37,118,10,253.465,28,0,0,0,3,10,1
0,0,0,1,2015-10-14,28,225,26,253.465,24,0,1,2,2,10,2
0,0,0,1,2015-10-21,47,248,25,253.465,32,0,2,1,2,10,2
0,0,0,1,2015-10-22,40,291,31,253.465,25,0,1,1,5,10,3
0,0,0,1,2015-10-21,38,179,51,253.465,31,0,0,0,8,10,2
0,0,0,1,2015-10-21,28,225,26,253.465,24,0,1,2,3,10,2
0,0,1,0,2015-10-22,36,260,50,253.465,23,0,4,0,16,10,3
1,0,0,0,2015-10-13,40,291,31,253.465,25,0,1,1,8,10,1
0,0,0,1,2015-10-20,28,225,26,253.465,24,0,1,2,2,10,1
0,0,0,1,2015-10-21,33,289,36,253.465,30,0,2,1,8,10,2
0,0,0,1,2015-10-23,28,361,52,253.465,27,0,1,4,1,10,4
0,0,0,1,2015-10-30,36,260,50,253.465,23,0,4,0,3,10,4
0,0,0,1,2015-11-05,38,179,51,306.345,31,0,0,0,1,11,3
0,0,0,1,2015-11-04,28,225,26,306.345,24,0,1,2,1,11,2
1,0,0,0,2015-11-05,38,179,51,306.345,31,0,0,0,8,11,3
0,0,1,0,2015-11-12,40,179,22,306.345,22,1,2,0,8,11,3
0,0,0,1,2015-11-19,40,291,31,306.345,25,0,1,1,5,11,3
1,0,0,0,2015-11-02,34,155,12,306.345,25,0,2,0,32,11,0
0,0,0,1,2015-11-09,33,189,29,306.345,25,0,2,2,8,11,0
1,0,0,0,2015-11-16,40,291,31,306.345,25,0,1,1,40,11,0
0,0,0,1,2015-11-18,28,225,26,306.345,24,0,1,2,1,11,2
1,0,0,0,2015-11-20,34,155,12,306.345,25,0,2,0,8,11,4
0,0,0,1,2015-11-18,28,225,26,306.345,24,0,1,2,3,11,2
0,0,1,0,2015-11-25,40,179,22,306.345,22,1,2,0,8,11,2
1,0,0,0,2015-11-20,28,225,26,306.345,24,0,1,2,3,11,4
0,0,0,1,2015-11-27,36,260,50,306.345,23,0,4,0,4,11,4
0,0,0,1,2015-11-02,47,248,25,306.345,32,0,2,1,1,11,0
0,0,0,1,2015-11-10,28,225,26,306.345,24,0,1,2,3,11,1
1,0,0,0,2015-11-11,33,289,36,306.345,30,0,2,1,24,11,2
0,0,0,1,2015-11-26,40,291,31,306.345,25,0,1,1,3,11,3
0,0,0,1,2015-12-01,47,248,25,261.306,32,0,2,1,1,12,1
0,0,1,0,2015-12-01,37,118,10,261.306,28,0,0,0,64,12,1
0,0,0,1,2015-12-02,50,118,13,261.306,31,0,1,0,2,12,2
0,0,0,1,2015-12-02,37,235,11,261.306,29,1,1,1,8,12,2
0,0,0,1,2015-12-03,28,225,26,261.306,24,0,1,2,2,12,3
0,0,0,1,2015-12-04,36,260,50,261.306,23,0,4,0,8,12,4
0,0,1,0,2015-12-08,37,118,10,261.306,28,0,0,0,56,12,1
0,0,0,1,2015-12-09,28,361,52,261.306,27,0,1,4,8,12,2
0,0,0,1,2015-12-10,28,225,26,261.306,24,0,1,2,3,12,3
0,0,0,1,2015-12-11,36,260,50,261.306,23,0,4,0,3,12,4
0,0,0,1,2015-12-15,28,225,26,261.306,24,0,1,2,2,12,1
0,0,0,1,2015-12-16,28,361,52,261.306,27,0,1,4,8,12,2
0,0,0,1,2015-12-11,37,118,10,261.306,28,0,0,0,2,12,4
0,0,1,0,2015-12-18,41,246,25,261.306,23,0,0,0,8,12,4
0,0,0,1,2015-12-18,28,225,26,261.306,24,0,1,2,2,12,4
0,0,0,1,2016-01-06,28,225,26,308.593,24,0,1,2,1,1,2
0,0,1,0,2016-01-04,37,118,10,308.593,28,0,0,0,1,1,0
0,0,0,1,2016-01-05,37,118,10,308.593,28,0,0,0,1,1,1
0,0,1,0,2016-01-05,34,155,12,308.593,25,0,2,0,8,1,1
0,0,0,1,2016-01-06,28,225,26,308.593,24,0,1,2,2,1,2
0,0,0,1,2016-01-07,27,184,42,308.593,21,0,0,0,2,1,3
0,0,0,1,2016-01-07,28,225,26,308.593,24,0,1,2,2,1,3
0,0,0,1,2016-01-08,28,225,26,308.593,24,0,1,2,1,1,4
0,0,0,1,2016-01-11,37,118,10,308.593,28,0,0,0,2,1,0
0,0,0,1,2016-01-12,28,225,26,308.593,24,0,1,2,2,1,1
0,0,0,1,2016-01-12,37,118,10,308.593,28,0,0,0,2,1,1
0,0,0,1,2016-01-13,37,118,10,308.593,28,0,0,0,2,1,2
0,0,0,1,2016-01-14,37,118,10,308.593,28,0,0,0,2,1,3
0,0,0,1,2016-01-15,37,118,10,308.593,28,0,0,0,2,1,4
0,0,0,1,2016-01-11,37,118,10,308.593,28,0,0,0,2,1,0
0,0,0,1,2016-01-12,37,118,10,308.593,28,0,0,0,2,1,1
0,0,1,0,2016-01-12,30,179,26,308.593,19,1,0,0,8,1,1
0,0,1,0,2016-01-12,33,289,36,308.593,30,0,2,1,8,1,1
0,0,0,1,2016-01-13,37,118,10,308.593,28,0,0,0,2,1,2
0,0,0,1,2016-01-21,27,184,42,308.593,21,0,0,0,2,1,3
0,0,0,1,2016-01-28,37,118,10,308.593,28,0,0,0,2,1,3
0,0,0,1,2016-01-25,37,118,10,308.593,28,0,0,0,0,1,0
0,0,0,1,2016-01-26,28,225,26,308.593,24,0,1,2,1,1,1
0,0,0,1,2016-01-28,33,289,36,308.593,30,0,2,1,3,1,3
0,0,0,1,2016-02-05,27,184,42,302.585,21,0,0,0,1,2,4
0,0,0,0,2016-02-03,41,246,25,302.585,23,0,0,0,8,2,2
1,0,0,0,2016-02-10,38,179,51,302.585,31,0,0,0,8,2,2
0,0,0,1,2016-02-11,34,155,12,302.585,25,0,2,0,2,2,3
0,0,0,1,2016-02-11,33,189,29,302.585,25,0,2,2,8,2,3
0,0,0,1,2016-02-12,36,260,50,302.585,23,0,4,0,2,2,4
0,0,0,1,2016-02-12,33,289,36,302.585,30,0,2,1,8,2,4
1,0,0,0,2016-02-08,50,388,15,302.585,24,0,0,0,8,2,0
0,0,0,0,2016-02-09,50,388,15,302.585,24,0,0,0,8,2,1
0,0,0,1,2016-02-15,28,225,26,302.585,24,0,1,2,2,2,0
0,0,0,1,2016-02-09,28,225,26,302.585,24,0,1,2,2,2,1
0,0,0,1,2016-02-16,30,179,26,302.585,19,1,0,0,1,2,1
0,0,0,1,2016-02-23,27,184,42,302.585,21,0,0,0,8,2,1
0,0,0,1,2016-02-25,28,225,26,302.585,24,0,1,2,3,2,3
0,0,1,0,2016-02-15,28,330,16,302.585,25,1,0,0,8,2,0
0,0,0,1,2016-02-16,28,330,16,302.585,25,1,0,0,1,2,1
0,0,0,1,2016-02-17,28,225,26,302.585,24,0,1,2,1,2,2
0,0,1,0,2016-02-25,33,189,29,302.585,25,0,2,2,8,2,3
0,0,0,1,2016-03-01,32,291,50,343.25300000000004,23,0,0,0,2,3,1
0,0,1,0,2016-03-01,36,260,50,343.25300000000004,23,0,4,0,8,3,1
0,0,1,0,2016-03-08,29,157,27,343.25300000000004,22,0,0,0,3,3,1
0,1,0,0,2016-03-15,40,179,22,343.25300000000004,22,1,2,0,8,3,1
0,0,0,1,2016-03-16,40,291,31,343.25300000000004,25,0,1,1,8,3,2
1,0,0,0,2016-03-02,36,260,50,343.25300000000004,23,0,4,0,8,3,2
1,0,0,0,2016-03-03,30,179,26,343.25300000000004,19,1,0,0,8,3,3
1,0,0,0,2016-03-04,47,248,25,343.25300000000004,32,0,2,1,3,3,4
1,0,0,0,2016-03-04,36,260,50,343.25300000000004,23,0,4,0,40,3,4
1,0,0,0,2016-03-07,40,179,22,343.25300000000004,22,1,2,0,40,3,0
0,0,0,0,2016-03-14,34,155,12,343.25300000000004,25,0,2,0,16,3,0
0,0,0,1,2016-03-21,36,260,50,343.25300000000004,23,0,4,0,16,3,0
1,0,0,0,2016-03-22,34,155,12,343.25300000000004,25,0,2,0,8,3,1
1,0,0,0,2016-03-24,33,289,36,343.25300000000004,30,0,2,1,8,3,3
1,0,0,0,2016-03-24,40,179,22,343.25300000000004,22,1,2,0,8,3,3
0,0,0,1,2016-03-25,36,260,50,343.25300000000004,23,0,4,0,4,3,4
0,0,0,1,2016-03-25,28,225,26,343.25300000000004,24,0,1,2,1,3,4
1,0,0,0,2016-03-28,39,279,5,343.25300000000004,24,0,2,0,8,3,0
1,0,0,0,2016-03-29,38,179,51,343.25300000000004,31,0,0,0,24,3,1
0,0,0,1,2016-03-30,28,225,26,343.25300000000004,24,0,1,2,2,3,2
1,0,0,0,2016-03-28,28,225,26,343.25300000000004,24,0,1,2,8,3,0
1,0,0,0,2016-03-28,30,179,26,343.25300000000004,19,1,0,0,1,3,0
1,0,0,0,2016-03-29,28,225,26,343.25300000000004,24,0,1,2,8,3,1
1,0,0,0,2016-03-30,28,225,26,343.25300000000004,24,0,1,2,16,3,2
1,0,0,0,2016-03-30,38,179,51,343.25300000000004,31,0,0,0,3,3,2
1,0,0,0,2016-03-17,39,279,5,343.25300000000004,24,0,2,0,16,3,3
0,0,0,1,2016-03-18,28,225,26,343.25300000000004,24,0,1,2,2,3,4
1,0,0,0,2016-03-25,47,248,25,343.25300000000004,32,0,2,1,3,3,4
0,0,0,1,2016-03-28,28,225,26,343.25300000000004,24,0,1,2,1,3,0
0,0,0,1,2016-04-06,40,291,31,326.452,25,0,1,1,1,4,2
0,0,0,1,2016-04-13,28,225,26,326.452,24,0,1,2,1,4,2
0,0,0,1,2016-04-12,34,155,12,326.452,25,0,2,0,1,4,1
1,0,0,0,2016-04-13,41,246,25,326.452,23,0,0,0,24,4,2
0,0,0,1,2016-04-14,34,155,12,326.452,25,0,2,0,1,4,3
0,0,0,1,2016-04-15,28,225,26,326.452,24,0,1,2,2,4,4
0,0,0,1,2016-04-15,36,260,50,326.452,23,0,4,0,4,4,4
1,0,0,0,2016-04-06,38,179,51,326.452,31,0,0,0,24,4,2
0,0,0,1,2016-04-07,50,118,13,326.452,31,0,1,0,1,4,3
0,0,0,1,2016-04-08,40,291,31,326.452,25,0,1,1,3,4,4
1,0,0,0,2016-04-08,41,246,25,326.452,23,0,0,0,8,4,4
0,0,0,1,2016-04-22,40,291,31,326.452,25,0,1,1,1,4,4
0,0,0,1,2016-04-29,47,248,25,326.452,32,0,2,1,8,4,4
0,0,1,0,2016-04-29,36,260,50,326.452,23,0,4,0,56,4,4
0,0,1,0,2016-04-26,33,289,36,326.452,30,0,2,1,8,4,1
1,0,0,0,2016-04-27,34,155,12,326.452,25,0,2,0,24,4,2
0,0,1,0,2016-04-27,36,378,49,326.452,21,0,2,4,8,4,2
1,0,0,0,2016-04-28,33,289,36,326.452,30,0,2,1,16,4,3
1,0,0,0,2016-04-08,37,235,11,326.452,29,1,1,1,3,4,4
0,0,0,0,2016-04-04,48,235,29,326.452,33,0,1,5,0,4,0
1,0,0,0,2016-05-04,33,289,36,378.884,30,0,2,1,8,5,2
0,0,0,1,2016-05-05,34,155,12,378.884,25,0,2,0,2,5,3
0,0,0,1,2016-05-02,34,155,12,378.884,25,0,2,0,1,5,0
0,0,1,0,2016-05-03,38,179,51,378.884,31,0,0,0,8,5,1
0,0,1,0,2016-05-03,28,225,26,378.884,24,0,1,2,8,5,1
1,0,0,0,2016-05-11,27,184,42,378.884,21,0,0,0,4,5,2
0,0,0,1,2016-05-09,34,155,12,378.884,25,0,2,0,2,5,0
1,0,0,0,2016-05-10,38,179,51,378.884,31,0,0,0,1,5,1
1,0,0,0,2016-05-04,33,289,36,378.884,30,0,2,1,24,5,2
0,0,0,0,2016-05-11,39,279,5,378.884,24,0,2,0,0,5,2
0,0,0,0,2016-05-18,28,330,16,378.884,25,1,0,0,0,5,2
0,0,0,0,2016-05-25,36,378,49,378.884,21,0,2,4,0,5,2
0,0,0,0,2016-05-25,50,388,15,378.884,24,0,0,0,0,5,2
1,0,0,0,2016-05-24,38,179,51,378.884,31,0,0,0,1,5,1
1,0,0,0,2016-05-11,50,118,13,378.884,31,0,1,0,24,5,2
0,0,0,1,2016-05-27,28,361,52,378.884,27,0,1,4,8,5,4
0,0,1,0,2016-06-06,41,246,25,377.55,23,0,0,0,8,6,0
0,0,0,1,2016-06-13,28,361,52,377.55,27,0,1,4,8,6,0
1,0,0,0,2016-06-14,41,246,25,377.55,23,0,0,0,24,6,1
0,0,0,1,2016-06-16,40,291,31,377.55,25,0,1,1,4,6,3
1,0,0,0,2016-06-17,41,246,25,377.55,23,0,0,0,8,6,4
1,0,0,0,2016-06-13,38,179,51,377.55,31,0,0,0,8,6,0
0,0,0,1,2016-06-20,34,155,12,377.55,25,0,2,0,4,6,0
1,0,0,0,2016-06-27,41,246,25,377.55,23,0,0,0,8,6,0
1,0,0,0,2016-06-29,50,118,13,377.55,31,0,1,0,8,6,2
1,0,0,0,2016-06-03,37,235,11,377.55,29,1,1,1,16,6,4
0,0,0,1,2016-06-07,50,118,13,377.55,31,0,1,0,1,6,1
1,0,0,0,2016-06-08,50,118,13,377.55,31,0,1,0,80,6,2
0,0,0,1,2016-06-09,36,378,49,377.55,21,0,2,4,8,6,3
1,0,0,0,2016-06-10,38,179,51,377.55,31,0,0,0,2,6,4
0,0,0,1,2016-06-20,49,289,48,377.55,36,0,0,2,2,6,0
0,0,0,1,2016-06-30,28,225,26,377.55,24,0,1,2,2,6,3
0,0,1,0,2016-07-05,34,155,12,275.312,25,0,2,0,16,7,1
0,0,0,0,2016-07-06,50,118,13,275.312,31,0,1,0,8,7,2
1,0,0,0,2016-07-08,37,118,10,275.312,28,0,0,0,8,7,4
0,0,0,1,2016-07-08,37,118,10,275.312,28,0,0,0,4,7,4
0,0,0,1,2016-07-12,28,330,16,275.312,25,1,0,0,8,7,1
0,0,1,0,2016-07-14,30,179,26,275.312,19,1,0,0,8,7,3
0,0,0,1,2016-07-15,34,155,12,275.312,25,0,2,0,2,7,4
0,0,0,0,2016-07-18,28,330,16,275.312,25,1,0,0,8,7,0
0,0,0,0,2016-07-19,28,330,16,275.312,25,1,0,0,8,7,1
0,0,0,1,2016-07-18,29,157,27,275.312,22,0,0,0,3,7,0
0,0,0,1,2016-07-19,28,361,52,275.312,27,0,1,4,8,7,1
0,0,0,1,2016-07-20,33,289,36,275.312,30,0,2,1,8,7,2
0,0,0,1,2016-07-21,38,179,51,275.312,31,0,0,0,8,7,3
0,0,1,0,2016-07-11,33,289,36,275.312,30,0,2,1,32,7,0
0,0,1,0,2016-07-14,33,289,36,275.312,30,0,2,1,8,7,3
0,0,0,0,2016-07-21,36,260,50,275.312,23,0,4,0,0,7,3
0,0,1,0,2016-08-04,33,289,36,265.615,30,0,2,1,8,8,3
0,0,1,0,2016-08-11,29,157,27,265.615,22,0,0,0,3,8,3
0,0,0,1,2016-08-07,33,289,36,265.615,30,0,2,1,1,8,6
0,0,1,0,2016-08-08,58,228,14,265.615,22,0,2,1,8,8,0
1,0,0,0,2016-08-10,43,300,26,265.615,25,0,2,1,1,8,2
1,0,0,0,2016-08-10,43,300,26,265.615,25,0,2,1,2,8,2
0,0,0,1,2016-08-11,36,260,50,265.615,23,0,4,0,4,8,3
0,0,0,1,2016-08-08,33,289,36,265.615,30,0,2,1,4,8,0
0,0,0,1,2016-08-09,47,248,25,265.615,32,0,2,1,1,8,1
1,0,0,0,2016-08-10,33,268,11,265.615,25,1,0,0,8,8,2
0,0,0,1,2016-08-10,30,179,26,265.615,19,1,0,0,1,8,2
1,0,0,0,2016-08-10,50,118,13,265.615,31,0,1,0,3,8,2
0,0,0,1,2016-08-14,47,248,25,265.615,32,0,2,1,2,8,6
0,0,0,1,2016-08-15,37,235,11,265.615,29,1,1,1,1,8,0
0,0,0,1,2016-08-17,50,118,13,265.615,31,0,1,0,1,8,2
0,0,1,0,2016-08-24,37,235,11,265.615,29,1,1,1,8,8,2
1,0,0,0,2016-08-08,28,361,52,265.615,27,0,1,4,8,8,0
1,0,0,0,2016-08-30,27,184,42,265.615,21,0,0,0,8,8,1
1,0,0,0,2016-09-05,38,179,51,294.217,31,0,0,0,8,9,0
0,0,0,1,2016-09-09,38,179,51,294.217,31,0,0,0,3,9,4
0,0,1,0,2016-09-07,33,289,36,294.217,30,0,2,1,24,9,2
0,0,0,0,2016-09-08,43,235,20,294.217,38,0,1,0,0,9,3
1,0,0,0,2016-09-12,41,246,25,294.217,23,0,0,0,16,9,0
0,0,0,1,2016-09-13,40,291,31,294.217,25,0,1,1,3,9,1
0,0,0,0,2016-09-13,39,231,35,294.217,35,0,2,2,0,9,1
0,0,0,0,2016-09-13,32,291,50,294.217,23,0,0,0,0,9,1
1,0,0,0,2016-09-14,38,179,51,294.217,31,0,0,0,8,9,2
1,0,0,0,2016-09-14,41,246,25,294.217,23,0,0,0,32,9,2
0,0,0,1,2016-09-15,38,179,51,294.217,31,0,0,0,1,9,3
0,0,0,1,2016-09-16,40,291,31,294.217,25,0,1,1,4,9,4
0,0,0,1,2016-09-16,36,260,50,294.217,23,0,4,0,4,9,4
0,0,0,1,2016-09-14,43,235,20,294.217,38,0,1,0,8,9,2
0,0,0,1,2016-09-15,50,118,13,294.217,31,0,1,0,1,9,3
0,0,0,0,2016-09-15,43,235,20,294.217,38,0,1,0,0,9,3
0,0,0,1,2016-09-16,40,291,31,294.217,25,0,1,1,3,9,4
1,0,0,0,2016-09-26,40,291,31,294.217,25,0,1,1,40,9,0
1,0,0,0,2016-09-26,38,179,51,294.217,31,0,0,0,8,9,0
0,0,0,1,2016-10-05,33,289,36,265.017,30,0,2,1,8,10,2
0,0,0,1,2016-10-05,37,235,11,265.017,29,1,1,1,4,10,2
0,0,0,1,2016-10-05,33,289,36,265.017,30,0,2,1,8,10,2
0,0,0,1,2016-10-06,33,289,36,265.017,30,0,2,1,8,10,3
0,0,0,0,2016-10-06,50,118,13,265.017,31,0,1,0,0,10,3
0,0,0,0,2016-10-06,47,248,25,265.017,32,0,2,1,0,10,3
0,0,0,0,2016-10-12,30,179,26,265.017,19,1,0,0,8,10,2
1,0,0,0,2016-10-12,37,118,10,265.017,28,0,0,0,3,10,2
0,0,0,1,2016-10-12,31,369,17,265.017,25,0,3,0,8,10,2
0,0,0,1,2016-10-14,38,179,51,265.017,31,0,0,0,1,10,4
0,0,0,0,2016-10-14,30,179,26,265.017,19,1,0,0,64,10,4
0,0,0,0,2016-10-14,43,235,20,265.017,38,0,1,0,0,10,4
0,0,1,0,2016-10-15,33,289,36,265.017,30,0,2,1,16,10,5
0,0,0,1,2016-10-16,36,260,50,265.017,23,0,4,0,3,10,6
0,0,0,0,2016-10-16,43,235,20,265.017,38,0,1,0,0,10,6
0,0,0,1,2016-10-19,43,235,20,265.017,38,0,1,0,2,10,2
0,0,0,1,2016-10-19,43,235,20,265.017,38,0,1,0,2,10,2
0,0,0,1,2016-10-20,50,118,13,265.017,31,0,1,0,1,10,3
0,0,0,1,2016-10-20,40,291,31,265.017,25,0,1,1,4,10,3
0,0,0,1,2016-10-22,30,179,26,265.017,19,1,0,0,16,10,5
0,0,0,1,2016-10-22,50,118,13,265.017,31,0,1,0,1,10,5
1,0,0,0,2016-10-26,28,361,52,265.017,27,0,1,4,8,10,2
0,0,0,0,2016-10-27,36,260,50,265.017,23,0,4,0,0,10,3
0,0,0,0,2016-10-27,40,291,31,265.017,25,0,1,1,0,10,3
0,0,0,0,2016-10-27,29,157,27,265.017,22,0,0,0,0,10,3
0,0,0,0,2016-10-28,30,179,26,265.017,19,1,0,0,5,10,4
1,0,0,0,2016-10-28,30,179,26,265.017,19,1,0,0,5,10,4
0,0,0,1,2016-10-29,50,118,13,265.017,31,0,1,0,1,10,5
1,0,0,0,2016-11-07,37,118,10,284.031,28,0,0,0,8,11,0
0,0,0,1,2016-11-07,47,248,25,284.031,32,0,2,1,2,11,0
1,0,0,0,2016-11-08,38,179,51,284.031,31,0,0,0,8,11,1
0,0,0,1,2016-11-11,36,260,50,284.031,23,0,4,0,3,11,4
0,0,0,1,2016-11-14,40,291,31,284.031,25,0,1,1,1,11,0
0,0,0,0,2016-11-14,36,378,49,284.031,21,0,2,4,8,11,0
1,0,0,0,2016-11-14,34,155,12,284.031,25,0,2,0,120,11,0
0,0,0,1,2016-11-14,43,235,20,284.031,38,0,1,0,8,11,0
0,0,0,0,2016-11-15,28,330,16,284.031,25,1,0,0,0,11,1
0,0,1,0,2016-11-16,37,235,11,284.031,29,1,1,1,1,11,2
1,0,0,0,2016-11-16,37,118,10,284.031,28,0,0,0,3,11,2
0,0,0,1,2016-11-17,37,235,11,284.031,29,1,1,1,2,11,3
0,0,0,1,2016-11-17,38,179,51,284.031,31,0,0,0,3,11,3
1,0,0,0,2016-11-18,41,246,25,284.031,23,0,0,0,8,11,4
1,0,0,0,2016-11-18,40,291,31,284.031,25,0,1,1,4,11,4
1,0,0,0,2016-11-21,41,246,25,284.031,23,0,0,0,8,11,0
0,0,0,1,2016-11-22,38,179,51,284.031,31,0,0,0,1,11,1
1,0,0,0,2016-11-23,36,260,50,284.031,23,0,4,0,8,11,2
0,1,0,0,2016-11-25,36,260,50,284.031,23,0,4,0,8,11,4
0,0,0,0,2016-11-25,36,378,49,284.031,21,0,2,4,0,11,4
0,0,0,0,2016-11-29,39,279,5,284.031,24,0,2,0,0,11,1
0,0,0,1,2016-11-24,38,179,51,284.031,31,0,0,0,1,11,3
1,0,0,0,2016-12-05,28,225,26,236.62900000000002,24,0,1,2,3,12,0
0,0,0,1,2016-12-05,38,179,51,236.62900000000002,31,0,0,0,2,12,0
0,0,0,1,2016-12-05,38,179,51,236.62900000000002,31,0,0,0,1,12,0
0,0,0,1,2016-12-05,37,235,11,236.62900000000002,29,1,1,1,3,12,0
0,0,0,1,2016-12-06,50,118,13,236.62900000000002,31,0,1,0,1,12,1
0,0,0,1,2016-12-09,36,260,50,236.62900000000002,23,0,4,0,4,12,4
1,0,0,0,2016-12-15,41,246,25,236.62900000000002,23,0,0,0,8,12,3
0,0,0,1,2016-12-15,38,179,51,236.62900000000002,31,0,0,0,1,12,3
0,0,0,1,2016-12-16,38,179,51,236.62900000000002,31,0,0,0,1,12,4
0,0,0,1,2016-12-20,30,179,26,236.62900000000002,19,1,0,0,1,12,1
